"seqnames"	"start"	"end"	"width"	"strand"	"feature_name"	"feature_id"	"RNA_type"	"annot_name"	"annot_id"
"hsa_mir_6859_1_MI0022705;type=miRNA"	41	63	23	"*"	"hsa_miR_6859_5p_MIMAT0027618"	"MIMAT0027618"	"miRNA"	"hsa_miR_6859_5p_MIMAT0027618"	"MIMAT0027618"
"hsa_mir_6859_1_MI0022705;type=miRNA"	1	23	23	"*"	"hsa_miR_6859_3p_MIMAT0027619"	"MIMAT0027619"	"miRNA"	"hsa_miR_6859_3p_MIMAT0027619"	"MIMAT0027619"
"hsa_mir_1302_2_MI0006363;type=miRNA"	73	93	21	"*"	"hsa_miR_1302_MIMAT0005890"	"MIMAT0005890"	"miRNA"	"hsa_miR_1302_MIMAT0005890"	"MIMAT0005890"
"hsa_mir_12136_MI0039740;type=miRNA"	54	71	18	"*"	"hsa_miR_12136_MIMAT0049032"	"MIMAT0049032"	"miRNA"	"hsa_miR_12136_MIMAT0049032"	"MIMAT0049032"
"hsa_mir_200b_MI0000342;type=miRNA"	21	42	22	"*"	"hsa_miR_200b_5p_MIMAT0004571"	"MIMAT0004571"	"miRNA"	"hsa_miR_200b_5p_MIMAT0004571"	"MIMAT0004571"
"hsa_mir_200b_MI0000342;type=miRNA"	57	78	22	"*"	"hsa_miR_200b_3p_MIMAT0000318"	"MIMAT0000318"	"miRNA"	"hsa_miR_200b_3p_MIMAT0000318"	"MIMAT0000318"
"hsa_mir_200a_MI0000737;type=miRNA"	16	37	22	"*"	"hsa_miR_200a_5p_MIMAT0001620"	"MIMAT0001620"	"miRNA"	"hsa_miR_200a_5p_MIMAT0001620"	"MIMAT0001620"
"hsa_mir_200a_MI0000737;type=miRNA"	54	75	22	"*"	"hsa_miR_200a_3p_MIMAT0000682"	"MIMAT0000682"	"miRNA"	"hsa_miR_200a_3p_MIMAT0000682"	"MIMAT0000682"
"hsa_mir_429_MI0001641;type=miRNA"	51	72	22	"*"	"hsa_miR_429_MIMAT0001536"	"MIMAT0001536"	"miRNA"	"hsa_miR_429_MIMAT0001536"	"MIMAT0001536"
"hsa_mir_6726_MI0022571;type=miRNA"	36	56	21	"*"	"hsa_miR_6726_5p_MIMAT0027353"	"MIMAT0027353"	"miRNA"	"hsa_miR_6726_5p_MIMAT0027353"	"MIMAT0027353"
"hsa_mir_6726_MI0022571;type=miRNA"	1	20	20	"*"	"hsa_miR_6726_3p_MIMAT0027354"	"MIMAT0027354"	"miRNA"	"hsa_miR_6726_3p_MIMAT0027354"	"MIMAT0027354"
"hsa_mir_6727_MI0022572;type=miRNA"	38	60	23	"*"	"hsa_miR_6727_5p_MIMAT0027355"	"MIMAT0027355"	"miRNA"	"hsa_miR_6727_5p_MIMAT0027355"	"MIMAT0027355"
"hsa_mir_6727_MI0022572;type=miRNA"	1	20	20	"*"	"hsa_miR_6727_3p_MIMAT0027356"	"MIMAT0027356"	"miRNA"	"hsa_miR_6727_3p_MIMAT0027356"	"MIMAT0027356"
"hsa_mir_6808_MI0022653;type=miRNA"	33	54	22	"*"	"hsa_miR_6808_5p_MIMAT0027516"	"MIMAT0027516"	"miRNA"	"hsa_miR_6808_5p_MIMAT0027516"	"MIMAT0027516"
"hsa_mir_6808_MI0022653;type=miRNA"	1	21	21	"*"	"hsa_miR_6808_3p_MIMAT0027517"	"MIMAT0027517"	"miRNA"	"hsa_miR_6808_3p_MIMAT0027517"	"MIMAT0027517"
"hsa_mir_4251_MI0015861;type=miRNA"	35	51	17	"*"	"hsa_miR_4251_MIMAT0016883"	"MIMAT0016883"	"miRNA"	"hsa_miR_4251_MIMAT0016883"	"MIMAT0016883"
"hsa_mir_551a_MI0003556;type=miRNA"	16	36	21	"*"	"hsa_miR_551a_MIMAT0003214"	"MIMAT0003214"	"miRNA"	"hsa_miR_551a_MIMAT0003214"	"MIMAT0003214"
"hsa_mir_4689_MI0017322;type=miRNA"	40	61	22	"*"	"hsa_miR_4689_MIMAT0019778"	"MIMAT0019778"	"miRNA"	"hsa_miR_4689_MIMAT0019778"	"MIMAT0019778"
"hsa_mir_4252_MI0015864;type=miRNA"	11	29	19	"*"	"hsa_miR_4252_MIMAT0016886"	"MIMAT0016886"	"miRNA"	"hsa_miR_4252_MIMAT0016886"	"MIMAT0016886"
"hsa_mir_6728_MI0022573;type=miRNA"	62	84	23	"*"	"hsa_miR_6728_5p_MIMAT0027357"	"MIMAT0027357"	"miRNA"	"hsa_miR_6728_5p_MIMAT0027357"	"MIMAT0027357"
"hsa_mir_6728_MI0022573;type=miRNA"	1	21	21	"*"	"hsa_miR_6728_3p_MIMAT0027358"	"MIMAT0027358"	"miRNA"	"hsa_miR_6728_3p_MIMAT0027358"	"MIMAT0027358"
"hsa_mir_34a_MI0000268;type=miRNA"	68	89	22	"*"	"hsa_miR_34a_5p_MIMAT0000255"	"MIMAT0000255"	"miRNA"	"hsa_miR_34a_5p_MIMAT0000255"	"MIMAT0000255"
"hsa_mir_34a_MI0000268;type=miRNA"	26	47	22	"*"	"hsa_miR_34a_3p_MIMAT0004557"	"MIMAT0004557"	"miRNA"	"hsa_miR_34a_3p_MIMAT0004557"	"MIMAT0004557"
